vendor,symbol,prev_date,ex_date,cc_return,classification,p2_tier,factor_est,vol_gate_day,vol_gate_persist,gap_days,persistence,reason
databento-xnas,GLDM,2022-02-22,2022-02-23,1.010599,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,GOOG,2022-07-15,2022-07-18,-0.951283,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,GOOGL,2022-07-15,2022-07-18,-0.951342,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,HTZ,2025-04-15,2025-04-16,1.098361,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,HTZ,2026-08-05,2026-08-06,0.596273,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,HUT,2023-12-01,2023-12-04,3.669604,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,IBKR,2025-06-17,2025-06-18,-0.753239,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,IESC,2026-08-21,2026-08-24,-0.524706,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,IGV,2024-03-06,2024-03-07,-0.796592,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,IJH,2024-02-21,2024-02-22,-0.797037,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,IMGN,2023-05-02,2023-05-03,1.3,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,IMGN,2023-11-29,2023-11-30,0.809141,repricing,NEAR,0.54,13.284,2.8591,1,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,INSM,2024-05-24,2024-05-28,1.171946,repricing,,,,,4,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,IOVA,2022-05-25,2022-05-26,-0.480135,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ISEE,2022-09-02,2022-09-06,0.670551,repricing,,,,,4,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ISRG,2021-10-04,2021-10-05,-0.660752,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,IWF,2026-04-28,2026-04-29,-0.750924,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,KDNY,2023-06-09,2023-06-12,0.574406,repricing,NEAR,0.607143,17.0168,3.9728,3,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,KLAC,2026-06-11,2026-06-12,-0.894655,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,KORU,2025-02-07,2025-02-10,9.526055,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,KORU,2026-07-14,2026-07-15,-0.957582,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,KRTX,2022-08-05,2022-08-08,0.738387,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,KRYS,2021-11-26,2021-11-29,1.311982,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,LRCX,2024-10-02,2024-10-03,-0.900649,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,LUNR,2023-02-15,2023-02-16,2.080831,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,LUNR,2023-02-21,2023-02-22,1.832215,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,LUNR,2023-02-22,2023-02-23,-0.802085,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,LUNR,2023-03-08,2023-03-09,0.622055,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,LUNR,2024-02-16,2024-02-20,0.616,repricing,,,,,4,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,LUNR,2025-03-05,2025-03-06,-0.45,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,MAGS,2021-09-29,2023-11-09,6.971722,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,MCHP,2021-10-12,2021-10-13,-0.496343,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,MDGL,2022-12-16,2022-12-19,2.555038,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,META,2022-01-28,2022-06-09,14.040683,repricing,FAR,0.0625,32.6711,44.2039,132,untestable,p2-volume-wrong-direction (FAR persistence)
databento-xnas,MNST,2023-03-27,2023-03-28,-0.508103,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,MNST,2026-08-10,2026-08-11,-0.500219,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,MORF,2024-07-05,2024-07-08,0.752513,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,MP,2025-07-09,2025-07-10,0.544,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,MRNA,2026-08-18,2026-08-19,1.652472,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,MSTR,2024-08-07,2024-08-08,-0.884695,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,MULL,2025-04-08,2025-04-09,0.51633,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,MULL,2026-06-25,2026-06-26,-0.963698,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,MUU,2026-07-14,2026-07-15,-0.959415,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,MVLL,2026-06-01,2026-06-02,0.976521,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,MVLL,2026-06-25,2026-06-26,-0.696697,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NARI,2025-01-03,2025-01-06,0.585694,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,NDAQ,2022-08-26,2022-08-29,-0.667478,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NESR,2023-04-27,2024-10-22,2.593156,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NFLX,2025-11-14,2025-11-17,-0.901067,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NOW,2025-12-17,2025-12-18,-0.803526,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NUVL,2022-10-27,2022-10-28,0.578616,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,NVDA,2024-06-07,2024-06-10,-0.899338,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NVDL,2024-03-12,2024-03-13,-0.842084,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NVDL,2026-06-25,2026-06-26,-0.673862,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NVDX,2024-07-15,2024-07-16,-0.9038,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NVO,2023-09-19,2023-09-20,-0.495789,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,NVTS,2025-05-20,2025-05-21,1.763819,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,NVTS,2025-10-10,2025-10-13,0.596814,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,OCTO,2024-08-15,2024-08-16,4.501965,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,OCTO,2024-12-27,2024-12-30,0.71875,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,OCTO,2025-07-23,2025-07-24,0.590909,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,OCTO,2025-09-05,2025-09-08,28.452055,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,OCTO,2025-09-09,2025-09-10,-0.422513,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ODFL,2024-03-27,2024-03-28,-0.477435,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,ONON,2022-09-27,2022-09-28,-0.456483,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,ONON,2022-09-28,2022-09-29,0.862745,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,OPEN,2025-07-15,2025-07-16,0.542857,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,ORLY,2025-06-09,2025-06-10,-0.931751,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,OUST,2023-04-20,2023-04-21,8.51526,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,PANW,2022-09-13,2022-09-14,-0.668061,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,PANW,2024-12-13,2024-12-16,-0.485116,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,PCVX,2022-10-21,2022-10-24,0.619048,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,PCVX,2025-03-28,2025-03-31,-0.460425,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,PDD,2022-03-15,2022-03-16,0.582942,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,PEGA,2025-06-20,2025-06-23,-0.494507,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,POET,2024-09-20,2024-09-23,0.578778,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,POET,2026-04-24,2026-04-27,-0.552517,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,POET,2026-05-13,2026-05-14,0.592902,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,POWL,2026-04-02,2026-04-06,-0.65704,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,PRAX,2022-06-03,2022-06-06,-0.771828,repricing,NEAR,2.571429,43.7541,5.7874,3,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,PRAX,2023-03-02,2023-03-03,-0.65411,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,PRAX,2023-11-28,2023-11-29,14.702703,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,PRAX,2025-10-15,2025-10-16,1.921635,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,PTGX,2021-09-16,2021-09-17,-0.613267,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,PTGX,2021-10-08,2021-10-11,0.903732,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,PTGX,2023-03-06,2023-03-07,0.592667,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,QBTS,2023-05-19,2023-05-22,0.864583,repricing,,,,,3,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,QBTS,2024-11-21,2024-11-22,0.518868,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,QID,2024-04-09,2024-04-10,4.119469,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,QLD,2025-11-19,2025-11-20,-0.537666,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,QMMM,2024-11-15,2024-11-18,-0.743077,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,QMMM,2024-11-19,2024-11-20,-0.414017,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,QMMM,2025-09-05,2025-09-08,0.522487,repricing,,,,,3,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,QMMM,2025-09-08,2025-09-09,6.132928,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,RAPT,2024-02-16,2024-02-20,-0.734309,repricing,NEAR,3.714286,19.4942,3.1258,4,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,RAPT,2024-05-08,2024-05-09,-0.4275,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,RAPT,2024-12-20,2024-12-23,1.108069,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,RAPT,2025-06-16,2025-06-17,6.61165,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,RAPT,2026-01-16,2026-01-20,0.640456,repricing,NEAR,0.611111,58.5092,7.2667,4,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,RCAT,2022-03-11,2022-03-14,0.597826,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,RDFN,2025-03-07,2025-03-10,0.577055,repricing,,,,,3,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,RETA,2023-02-27,2023-02-28,1.730383,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,RGTI,2024-11-22,2024-11-25,0.57377,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,RGTI,2024-12-09,2024-12-10,0.593478,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,RGTI,2025-01-13,2025-01-14,0.506579,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
