symbol,ex_date,event,factor,source,verdict,measured_open,measured_close,persistence
MSOX,2024-11-26,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0487,0.0479,persistent
MSPR,2023-10-13,REVERSE_SPLIT,0.04,yahoo,ex-date-absent,,,
MSPR,2024-11-18,REVERSE_SPLIT,0.04,yahoo,ex-date-absent,,,
MSPR,2024-12-09,REVERSE_SPLIT,0.448276,inband,not-corroborated,0.6181,0.7009,persistent
MSPR,2025-09-02,REVERSE_SPLIT,0.142857,yahoo,corroborated,0.132,0.1413,persistent
MSS,2026-04-24,REVERSE_SPLIT,0.1,yahoo,ex-date-absent,,,
MSS,2026-07-22,REVERSE_SPLIT,0.2,yahoo,corroborated,0.1786,0.177,persistent
MST,2025-12-09,REVERSE_SPLIT,0.25,yahoo,corroborated,0.2556,0.2392,persistent
MST,2026-03-23,REVERSE_SPLIT,0.142857,yahoo,corroborated,0.1442,0.1375,persistent
MSTP,2026-05-01,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0459,0.0436,persistent
MSTR,2024-08-08,FORWARD_SPLIT,10.0,yahoo,corroborated,9.624,9.1697,persistent
MSTU,2024-12-16,FORWARD_SPLIT,10.0,yahoo,corroborated,9.2833,10.0398,persistent
MSTU,2025-12-03,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0957,0.0927,persistent
MSTU,2026-08-24,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1003,0.0947,persistent
MSTX,2026-03-19,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1081,0.1034,persistent
MSTY,2025-12-08,REVERSE_SPLIT,0.2,yahoo,corroborated,0.1958,0.1955,persistent
MSTZ,2024-12-16,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0551,0.0498,persistent
MTC,2022-07-13,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1042,0.1031,persistent
MTC,2024-12-18,REVERSE_SPLIT,0.125,yahoo,corroborated,0.1447,0.1392,persistent
MTEM,2023-08-14,REVERSE_SPLIT,0.07,inband,ex-date-absent,,,
MTEN,2026-01-26,REVERSE_SPLIT,0.005,yahoo,corroborated,0.0063,0.0062,persistent
MTH,2025-01-03,FORWARD_SPLIT,2.0,yahoo,corroborated,1.9986,2.0075,persistent
MTNB,2024-09-03,REVERSE_SPLIT,0.02,yahoo,corroborated,0.0241,0.0235,persistent
MTP,2022-09-26,REVERSE_SPLIT,0.25,inband,ex-date-absent,,,
MTUL,2024-09-26,REVERSE_SPLIT,0.285714,inband,ex-date-absent,,,
MTVA,2022-09-13,REVERSE_SPLIT,0.0333333333333,yahoo,ex-date-absent,,,
MTVA,2023-12-21,REVERSE_SPLIT,0.125,yahoo,ex-date-absent,,,
MTVA,2025-12-05,REVERSE_SPLIT,0.0909090909091,yahoo,ex-date-absent,,,
MTYY,2026-06-02,REVERSE_SPLIT,0.166666666667,yahoo,ex-date-absent,,,
MUD,2026-03-05,REVERSE_SPLIT,0.1,yahoo,not-corroborated,0.9974,0.9872,bad-open-print
MUD,2026-03-10,REVERSE_SPLIT,0.1,yahoo,corroborated,0.101,0.1042,persistent
MULL,2026-06-26,FORWARD_SPLIT,25.0,yahoo,corroborated,28.5304,29.1742,persistent
MULN,2023-08-11,REVERSE_SPLIT,0.1,inband,corroborated,0.1078,0.1121,persistent
MULN,2024-09-17,REVERSE_SPLIT,0.01,inband,corroborated,0.0099,0.0115,persistent
MULN,2025-02-18,REVERSE_SPLIT,0.02,inband,corroborated,0.0184,0.0203,persistent
MUU,2026-07-15,FORWARD_SPLIT,20.0,yahoo,corroborated,20.2031,23.8535,persistent
MUX,2022-07-28,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1026,0.096,persistent
MVIS,2026-08-03,REVERSE_SPLIT,0.066667,yahoo,corroborated,0.0664,0.0683,persistent
MVLL,2026-06-26,FORWARD_SPLIT,3.0,yahoo,corroborated,3.1963,3.2795,persistent
MWG,2026-02-23,REVERSE_SPLIT,0.1,yahoo,ex-date-absent,,,
MYGN,2023-04-04,REVERSE_SPLIT,0.7,inband,drifted,1.0051,1.0064,bad-open-print
MYMD,2024-02-15,REVERSE_SPLIT,0.034483,inband,corroborated,0.0371,0.0412,persistent
MYND,2022-10-14,REVERSE_SPLIT,0.05,yahoo,ex-date-absent,,,
MYND,2023-11-01,FORWARD_SPLIT,2.0,yahoo,ex-date-absent,,,
MYNZ,2024-12-03,REVERSE_SPLIT,0.025,inband,corroborated,0.0303,0.0289,persistent
MYSE,2023-09-20,REVERSE_SPLIT,0.1,yahoo,ex-date-absent,,,
MYSZ,2022-12-09,REVERSE_SPLIT,0.04,yahoo,drifted,0.0469,0.0539,persistent
MYSZ,2024-04-23,REVERSE_SPLIT,0.125,yahoo,corroborated,0.1252,0.1203,persistent
MYSZ,2026-08-13,REVERSE_SPLIT,0.125,yahoo,corroborated,0.1341,0.1258,persistent
NA,2024-11-04,REVERSE_SPLIT,0.1,yahoo,drifted,0.1215,0.1309,persistent
NAAS,2022-06-13,REVERSE_SPLIT,0.2,yahoo,no-prev-bar,,,
NAAS,2024-06-13,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0508,0.0508,persistent
NAAS,2025-04-28,REVERSE_SPLIT,0.25,yahoo,drifted,0.1985,0.3217,persistent
NAAS,2025-07-30,REVERSE_SPLIT,0.25,yahoo,corroborated,0.2491,0.2067,persistent
NAKA,2026-05-22,REVERSE_SPLIT,0.025,yahoo,corroborated,0.0254,0.0233,persistent
NAKD,2021-12-22,REVERSE_SPLIT,0.068966,inband,corroborated,0.0759,0.0762,persistent
NAMI,2026-06-25,REVERSE_SPLIT,0.04,yahoo,corroborated,0.0442,0.044,persistent
NAOV,2025-08-12,REVERSE_SPLIT,0.1,inband,corroborated,0.1024,0.1053,persistent
NBIZ,2026-06-03,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0986,0.092,persistent
NBIZ,2026-07-21,REVERSE_SPLIT,0.333333,yahoo,drifted,0.3751,0.5084,persistent
NBY,2026-02-23,REVERSE_SPLIT,0.185714,inband,not-corroborated,0.2178,0.2944,persistent
NCEL,2024-09-27,REVERSE_SPLIT,0.025,yahoo,ex-date-absent,,,
NCEL,2025-10-31,REVERSE_SPLIT,0.1,yahoo,no-prev-bar,,,
NCEW,2025-11-14,REVERSE_SPLIT,0.125,yahoo,ex-date-absent,,,
NCI,2025-06-16,REVERSE_SPLIT,0.2,yahoo,drifted,0.2873,0.2826,persistent
NCI,2026-05-19,REVERSE_SPLIT,0.125,yahoo,corroborated,0.1266,0.1266,persistent
