symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev
UVIX,2025-01-15,1,10,0.1,0.099722,0.1038,0.0754,0.002782
UVXY,2023-06-23,3,31,0.096774,0.097826,0.4513,0.3033,0.010811
UVXY,2025-11-20,1,5,0.2,0.201509,0.4073,0.2865,0.007515
UWMC+,2022-12-22,31,22,1.409091,1.40625,0.9733,1.3333,0.002018
UXIN,2022-10-28,1,11,0.090909,0.09088,0.4708,0.2628,0.00032
UXIN,2024-01-16,9,80,0.1125,0.113314,0.2098,0.2023,0.007213
UXRP,2026-05-28,17,80,0.2125,0.212633,0.0468,0.1132,0.000625
UYSCR,2026-01-23,13,23,0.565217,0.565898,0.7509,0.2545,0.001204
VALN,2023-11-20,29,70,0.414286,0.414673,0.6929,0.4638,0.000935
VAPO,2023-08-18,3,23,0.130435,0.130651,0.297,0.71,0.00166
VATE,2024-08-09,3,26,0.115385,0.115813,0.2886,0.1433,0.003705
VBIV,2023-04-12,1,29,0.034483,0.034856,0.0956,0.1287,0.010759
VCIG,2025-04-03,1,19,0.052632,0.053244,0.2265,0.1181,0.011563
VCIG,2025-09-16,1,28,0.035714,0.035909,0.3613,0.3066,0.00544
VCIG,2026-08-24,4,65,0.061538,0.061143,0.2616,0.5594,0.006449
VCNX,2024-02-20,1,12,0.083333,0.082105,0.2377,0.1323,0.014847
VCSA,2023-10-03,1,22,0.045455,0.044668,0.1595,0.0645,0.017452
VELOW,2022-05-12,7,5,1.4,1.399067,1.6106,1.1397,0.000666
VEON,2023-03-08,1,10,0.1,0.099306,0.1106,0.1189,0.006969
VERO,2023-05-12,1,14,0.071429,0.070894,2.1007,0.733,0.007512
VERO,2025-03-04,9,100,0.09,0.088864,1.4116,0.1819,0.012707
VERU,2025-08-11,1,10,0.1,0.099737,0.2765,0.2364,0.002635
VGT,2026-04-21,8,1,8.0,7.93402,5.4866,4.9634,0.008282
VHC,2023-10-26,1,19,0.052632,0.053286,0.1467,0.0729,0.012365
VHNAW,2022-09-15,28,17,1.647059,1.652416,1.5761,1.065,0.003248
VIA,2023-03-22,7,32,0.21875,0.218776,0.5708,0.261,0.000117
VIEW,2023-07-27,1,64,0.015625,0.016429,1.2022,0.5303,0.050206
VINO,2022-11-04,2,21,0.095238,0.095244,0.2504,0.1871,6.1e-05
VIOO,2023-03-14,31,16,1.9375,1.941047,1.2976,1.5254,0.001829
VISL,2023-05-01,1,18,0.055556,0.056341,0.6456,0.092,0.014047
VIXY,2023-06-23,1,5,0.2,0.199088,0.4312,0.1831,0.00457
VIXY,2024-11-07,9,35,0.257143,0.253804,0.2625,0.6735,0.01307
VLATW,2022-01-21,7,5,1.4,1.399886,1.4493,1.4975,8.2e-05
VLCN,2024-06-07,1,80,0.0125,0.011609,0.1032,0.0589,0.073923
VLCN,2025-06-12,2,15,0.133333,0.133313,0.6679,0.3671,0.000156
VLD,2024-06-13,1,27,0.037037,0.037202,0.2534,0.1068,0.004454
VLD+,2023-04-05,2,1,2.0,1.972019,2.0,1.65,0.014089
VMAR,2026-01-14,1,40,0.025,0.024252,0.1261,0.0837,0.030366
VMAR,2026-06-17,3,31,0.096774,0.096517,0.3627,0.1218,0.002659
VMAR,2026-08-26,1,10,0.1,0.100403,10.1303,0.4209,0.00402
VNRX,2026-04-28,1,21,0.047619,0.048617,0.325,0.3392,0.020741
VOLT,2024-12-04,19,80,0.2375,0.236686,0.0881,0.4369,0.003432
VOOG,2026-04-21,6,1,6.0,5.965821,13.2998,17.1254,0.005713
VOR,2025-09-19,1,18,0.055556,0.054917,0.3118,0.1554,0.011552
VRAX,2023-12-18,3,29,0.103448,0.102387,0.4499,0.2302,0.010311
VRAX,2026-06-26,1,25,0.04,0.04074,1.4468,0.4976,0.018322
VRCA,2025-07-25,1,10,0.1,0.100575,0.7943,0.2552,0.005731
VRM,2024-02-14,1,70,0.014286,0.013765,0.0504,0.0815,0.037103
VRM,2025-02-20,3,7,0.428571,0.4275,1.2586,0.0319,0.002503
VRMEW,2022-05-12,19,12,1.583333,1.583671,1.6008,1.0849,0.000213
VRMEW,2023-07-13,22,15,1.466667,1.46696,1.0,2.03,0.0002
VRPX,2024-03-01,2,17,0.117647,0.117462,0.1942,0.2144,0.001573
VRTL,2026-06-26,10,3,3.333333,3.348115,1.8623,2.72,0.004425
VS,2023-12-29,4,65,0.061538,0.060976,1.988,0.6081,0.009188
VSA,2026-05-26,7,80,0.0875,0.088068,0.6103,0.4022,0.006473
VSME,2024-06-18,3,19,0.157895,0.15814,0.6563,0.4346,0.001549
VST+A,2022-07-29,2,3,0.666667,0.663902,0.82,1.0,0.004155
VST+A,2022-09-14,22,15,1.466667,1.464896,0.6656,1.3311,0.001208
VST+A,2023-09-08,29,65,0.446154,0.446743,0.5,0.205,0.00132
VSTL,2026-03-19,7,20,0.35,0.350828,0.1168,0.1601,0.002363
VSTM,2023-06-01,1,11,0.090909,0.091165,0.2325,0.305,0.002816
VTAK,2024-07-15,11,100,0.11,0.109722,1.0003,0.0653,0.002528
VUG,2026-04-21,65,11,5.909091,5.951329,6.9294,7.9922,0.007122
VVOS,2023-10-27,1,25,0.04,0.040708,0.5284,0.2564,0.017544
VWAVW,2026-08-13,11,16,0.6875,0.6875,0.7939,0.5361,0.0
VXX,2023-03-07,1,4,0.25,0.252411,0.325,0.9234,0.009599
VXX,2024-07-24,16,65,0.246154,0.247446,1.4617,0.7468,0.005236
VXZ,2024-07-24,17,70,0.242857,0.242921,0.011,0.3656,0.000264
VYNE,2023-02-13,3,50,0.06,0.059621,0.1445,0.0432,0.006343
VYNT,2022-11-02,4,17,0.235294,0.235963,1.5261,0.5209,0.002838
WAI,2025-05-05,1,23,0.043478,0.044444,3.7462,0.9594,0.021979
WAI,2025-09-08,1,27,0.037037,0.036877,0.1044,0.2159,0.004325
WATT,2023-08-16,1,19,0.052632,0.052342,1.0,0.2242,0.005525
WATT,2025-08-11,1,30,0.033333,0.032963,0.2508,0.1116,0.01116
WAVD,2023-10-18,3,31,0.096774,0.098046,0.373,0.1233,0.013052
WBX,2025-07-03,1,19,0.052632,0.053922,0.3474,0.0927,0.024214
WBX+,2023-08-08,7,5,1.4,1.402137,2.0,1.01,0.001526
WDCX,2026-06-03,3,1,3.0,2.992402,4.6037,1.9884,0.002536
WE,2023-09-05,1,40,0.025,0.025163,0.2428,0.1707,0.006491
WEAT,2025-11-25,1,5,0.2,0.200725,0.0074,0.0758,0.003617
WEBS,2024-11-04,1,10,0.1,0.099791,0.0614,0.073,0.002088
WEED,2023-05-01,5,28,0.178571,0.178901,1.9113,0.2365,0.001843
WEI,2022-01-26,7,80,0.0875,0.08728,22.6829,0.7836,0.002517
WFF,2026-04-13,12,65,0.184615,0.183486,1.2728,0.3348,0.006135
WGS,2023-05-04,1,30,0.033333,0.033139,0.072,0.0845,0.005854
WHLR,2023-08-18,1,10,0.1,0.099284,6.3374,0.1873,0.007186
WHLR,2024-05-17,2,35,0.057143,0.056856,0.6157,0.4255,0.005029
WHLR,2024-06-28,19,100,0.19,0.189286,4.7193,0.3127,0.003766
WHLR,2024-09-20,19,50,0.38,0.379673,0.0517,0.0567,0.000861
WHLR,2025-01-28,7,25,0.28,0.280401,0.67,0.2183,0.00143
WHLR,2025-03-27,4,21,0.190476,0.190745,2.2949,0.6417,0.001411
WHLR,2025-05-27,2,15,0.133333,0.133858,0.4935,0.4941,0.003929
WHLR,2025-09-23,14,65,0.215385,0.215873,0.0598,0.0607,0.002265
WIMI,2025-04-14,1,20,0.05,0.050167,0.2222,0.2286,0.003328
WINT,2023-02-24,1,40,0.025,0.023386,0.353,0.2932,0.06675
WINT,2024-04-22,3,50,0.06,0.060357,1.1938,0.1417,0.005935
WINVR,2022-02-17,19,12,1.583333,1.583333,1.7714,1.6714,0.0
WISA,2023-01-27,1,80,0.0125,0.0115,0.0114,0.0227,0.083382
WISH,2023-04-12,1,28,0.035714,0.035811,0.2433,0.112,0.002716
WIT,2024-12-11,2,1,2.0,1.979508,1.7984,0.9186,0.010299
WKEY,2023-07-05,2,5,0.4,0.396514,0.8572,0.3277,0.008753
WKHS,2024-06-17,1,18,0.055556,0.055651,0.3391,0.3003,0.001709
WKHS,2025-03-17,5,64,0.078125,0.077558,0.4845,0.2092,0.007282
WKHS,2025-12-08,5,64,0.078125,0.07815,2.7524,0.4396,0.000315
WKSP,2025-03-18,1,10,0.1,0.100867,1.0795,0.3553,0.008633
WKSPW,2022-12-27,22,15,1.466667,1.466667,0.8811,2.2026,0.0
WLDS,2024-10-10,1,18,0.055556,0.054917,0.5417,0.2112,0.011556
WLDS,2025-03-17,2,9,0.222222,0.222636,6.6499,0.8477,0.001862
WLDS,2026-06-22,10,31,0.322581,0.322414,3.3812,0.8294,0.000517
WLDSW,2026-03-12,3,5,0.6,0.6,0.296,0.408,0.0
WLFC,2026-07-21,50,17,2.941176,2.939004,1.9602,1.8371,0.000739
WMC,2022-07-11,3,29,0.103448,0.101737,0.3799,0.3224,0.016681
WMT,2024-02-26,3,1,3.0,2.994393,3.9381,2.3077,0.001871
WOLF,2025-09-29,1,15,0.066667,0.066364,1.1769,0.2022,0.004548
WORX,2023-10-11,7,100,0.07,0.069896,1.824,0.5844,0.001484
WPCB+,2022-04-04,7,10,0.7,0.716771,0.8,0.948,0.023675
WPRT,2023-06-06,1,10,0.1,0.099788,0.8511,0.7779,0.002118
WQGA+,2022-05-12,16,23,0.695652,0.695685,0.6316,0.3158,4.8e-05
